doy,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5,temp_7,site_id
0,4.643901299207639,4.596841457562569,4.547449075258696,4.504460518176739,4.468472285148425,4.442379621359018,4.419683872125088,4.403675910754082,4.390075598007593,4.381688105754363,4.376474600571853,4.1106474705231495,2.5218530954458775,2.1229053185536313,1.824545640211839,120020150
1,4.62487976367657,4.571876146854499,4.522267256027613,4.4809441566467285,4.441993432167249,4.411854426066081,4.387994252718412,4.3681966830522585,4.356316810999161,4.346565833458533,4.342164907699976,4.070436367621789,2.6098435933773336,2.245898029743097,1.960404179035089,120020150
2,4.628320926275009,4.572129261799348,4.516418041327061,4.469848975157126,4.430450598398845,4.400564939547808,4.374623029659956,4.355469923753005,4.339782127967248,4.329471930479392,4.3219386369754105,4.040235788394243,2.6008460277166123,2.2470478537755136,1.9680153406583345,120020150
3,4.613188670231746,4.559861256526067,4.5082950958838826,4.468104154635698,4.431290797698192,4.401694248884152,4.376260378421882,4.355494083502354,4.339365286704822,4.327284299410307,4.319201139303354,3.9925561807094474,2.6383459843122044,2.2914583331499343,2.0157738343263283,120020150
4,4.670918892591428,4.608375292557937,4.549148950821314,4.50145174906804,4.462539941836626,4.42935201449272,4.4047800455337915,4.383238767966246,4.367319718385354,4.355903870020157,4.348093289595384,4.0385667727543755,2.746895921535981,2.4039496183395386,2.142090843274043,120020150
5,4.677616816300612,4.617276411790114,4.562804075387808,4.517841583643204,4.480056065779466,4.446897457807492,4.418218221419897,4.393563576233693,4.3774524468642015,4.364006604903784,4.355119925278884,4.0250130249903755,2.6748277010061803,2.3099176455766726,2.04407277626869,120020150
6,4.5803409448036785,4.536024199082301,4.492910446264805,4.514316913409111,4.493045623485859,4.45976779399774,4.43403270917061,4.41098857537294,4.396728136600593,4.3845816758962775,4.377732472542005,4.037355147875273,2.6904875467985105,2.3415504693984985,2.0803424379764457,120020150
7,4.674064746269813,4.623386309697078,4.580032532031719,4.53879899245042,4.506331773904654,4.475415987846179,4.451633441142547,4.430841678228134,4.4139024538871565,4.402157221084986,4.3920608300429125,4.021671172900078,2.638076663017273,2.3022679396164722,2.0300767589838076,120020150
8,4.6927403303293085,4.633457367236797,4.579485550904885,4.530954043070476,4.4886931883983126,4.451894222161709,4.421129850240854,4.398810215485402,4.382085702358148,4.370438380119128,4.36283016204834,3.9972022619002905,2.6613990037869186,2.3449170283782177,2.077138599676964,120020150
9,4.686068669343606,4.626080965384459,4.572762403732691,4.527507500770764,4.4829990313603325,4.446896051749205,4.418445354852921,4.397842113788311,4.383153939858461,4.37226722179315,4.365039263016138,3.9699442142095323,2.5669161081314087,2.241381587126316,1.960084895292918,120020150
