,doy,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5,temp_7,site_id,temp_7.5,temp_8,temp_8.5,temp_9,temp_9.5,temp_10,temp_10.5,temp_11,temp_11.5,temp_12,temp_12.5,temp_13,temp_13.5,temp_14,temp_14.5,temp_15,temp_15.5,temp_16,temp_16.5,temp_17,temp_17.5,temp_18,temp_18.5,temp_19,temp_19.5,temp_20,temp_20.5,temp_21,temp_21.5,temp_22,temp_22.5,temp_23,temp_23.5,temp_24,temp_24.5,temp_25,temp_25.5
0,0,4.643901299207639,4.596841457562569,4.547449075258696,4.504460518176739,4.468472285148425,4.442379621359018,4.419683872125088,4.403675910754082,4.390075598007593,4.381688105754363,4.376474600571853,4.1106474705231495,2.521853095445877,2.1229053185536317,1.824545640211839,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4.62487976367657,4.571876146854499,4.522267256027613,4.4809441566467285,4.441993432167249,4.411854426066081,4.387994252718412,4.3681966830522585,4.356316810999161,4.346565833458533,4.342164907699976,4.070436367621789,2.6098435933773336,2.245898029743097,1.960404179035089,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,4.628320926275009,4.572129261799348,4.516418041327061,4.469848975157126,4.430450598398845,4.400564939547808,4.374623029659956,4.355469923753005,4.339782127967248,4.329471930479392,4.3219386369754105,4.040235788394243,2.6008460277166123,2.2470478537755136,1.9680153406583345,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,4.613188670231746,4.559861256526067,4.5082950958838826,4.468104154635698,4.431290797698192,4.401694248884152,4.376260378421882,4.355494083502354,4.339365286704822,4.327284299410307,4.319201139303354,3.992556180709448,2.6383459843122044,2.2914583331499343,2.0157738343263283,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4.670918892591428,4.608375292557937,4.549148950821314,4.50145174906804,4.462539941836626,4.42935201449272,4.404780045533792,4.383238767966246,4.367319718385354,4.355903870020157,4.348093289595384,4.038566772754376,2.746895921535981,2.4039496183395386,2.142090843274043,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,4.677616816300612,4.617276411790114,4.562804075387808,4.517841583643204,4.480056065779466,4.446897457807492,4.418218221419897,4.393563576233693,4.3774524468642015,4.364006604903784,4.355119925278884,4.025013024990376,2.6748277010061803,2.309917645576673,2.04407277626869,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,4.580340944803679,4.536024199082301,4.492910446264805,4.514316913409111,4.493045623485859,4.45976779399774,4.43403270917061,4.41098857537294,4.396728136600593,4.3845816758962775,4.377732472542005,4.037355147875273,2.6904875467985105,2.3415504693984985,2.0803424379764457,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,4.674064746269813,4.623386309697078,4.580032532031719,4.53879899245042,4.506331773904654,4.475415987846179,4.451633441142547,4.430841678228134,4.4139024538871565,4.402157221084986,4.3920608300429125,4.021671172900078,2.638076663017273,2.302267939616472,2.030076758983808,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,4.6927403303293085,4.633457367236797,4.579485550904885,4.530954043070476,4.4886931883983126,4.451894222161709,4.421129850240854,4.398810215485402,4.382085702358148,4.370438380119128,4.36283016204834,3.9972022619002905,2.661399003786918,2.3449170283782177,2.077138599676964,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,4.686068669343606,4.626080965384459,4.572762403732691,4.527507500770764,4.4829990313603325,4.446896051749205,4.418445354852921,4.397842113788311,4.383153939858461,4.37226722179315,4.365039263016138,3.969944214209532,2.5669161081314087,2.241381587126316,1.960084895292918,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,4.673332837911753,4.617547059670473,4.562621446756216,4.516104575915215,4.477118565486028,4.440772276658279,4.411910753983718,4.388758475963886,4.369782839065943,4.3564707438151045,4.345950909149953,3.922691620313204,2.420658420293759,2.0763818514652743,1.79558280033943,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,4.668677880213811,4.620738053933168,4.575317859649658,4.531055144774608,4.493782789279253,4.4655292339814014,4.438044853699513,4.421410034864377,4.402525486090244,4.391954629849165,4.382412971594395,3.891591518353193,2.36691322693458,2.021117772811498,1.732199117159232,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,4.704446107913286,4.655859286968525,4.603555532602163,4.562510759402544,4.524881142836351,4.494280472779885,4.467368125915527,4.449667588258401,4.433738769629063,4.42453007820325,4.4180001723460665,3.944727818171183,2.584308966612205,2.2777283023565245,1.999535843347892,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,4.731527010599772,4.678038829412216,4.623751994891045,4.576790063809126,4.535809382414207,4.500117253034543,4.46806892981896,4.44423281840789,4.42363253617898,4.410423902364878,4.39839184589875,3.9675249686607943,2.6335562681540465,2.345900014424936,2.0764996592815104,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,4.725231427412767,4.676095669086163,4.6257482919937525,4.578572297707583,4.540724314176119,4.509578130184075,4.481152937962459,4.459636908311111,4.441356891240829,4.429225884951078,4.417887822175637,3.963559444134052,2.5789369680942635,2.273701634162512,1.994113110578977,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,4.71482750085684,4.664141496022542,4.6150833154336,4.572646776835124,4.535600124261318,4.505816117311135,4.479799392895821,4.46072601660704,4.445506792802077,4.435535284189077,4.428145066285745,3.957568394832122,2.5333768037649302,2.229413649974725,1.9514567729754329,120020150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
