doy,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5,temp_7,temp_7.5,temp_8,temp_8.5,temp_9,temp_9.5,temp_10,temp_10.5,temp_11,temp_11.5,temp_12,temp_12.5,temp_13,temp_13.5,temp_14,temp_14.5,temp_15,temp_15.5,temp_16,temp_16.5,temp_17,temp_17.5,temp_18,temp_18.5,temp_19,temp_19.5,temp_20,temp_20.5,temp_21,temp_21.5,temp_22,temp_22.5,temp_23,temp_23.5,temp_24,temp_24.5,temp_25,temp_25.5,site_id
0,0.3627055226228176,0.4452363267923013,0.5575256699170822,0.7132230385755881,0.9324781329203875,1.2488248164837177,1.662916729083428,2.0504342439847116,2.222326770806924,2.300062115375812,2.3311631159904675,2.3512327059721336,2.363376959776267,2.369350867393689,2.3749262583561435,2.376582533885271,2.3792407665497217,2.383275019816863,2.3844174421750584,2.3872891878470397,2.389496555695167,2.3925152008350077,2.395914230591212,2.3987541382129374,2.4025235726283145,2.4083753243470802,2.4146778002763405,2.4232903596682425,2.4307165971169105,2.4394469872499123,2.449398642931229,2.460419367521237,2.470410732122568,2.4809919045521664,2.4910037364715185,2.502791416950715,2.516817875397511,2.5316158533096313,2.5461134971716466,2.558989323102511,2.5749273055639024,2.589554636906355,2.604139661177611,2.621285160382589,2.6260685737316427,2.6013642794046645,2.4968231381514134,2.4767361665383363,2.4791487592917223,2.4896931052207947,2.5125941175680895,2.524152954419454,107072210
1,0.48726693177834535,0.5625200179906992,0.6690965187855256,0.816774498193692,1.0305244616973095,1.3432740752513592,1.7528125399198287,2.117626801515237,2.30980654557546,2.395921380091936,2.439786767348265,2.4619360398023558,2.4745343648470364,2.4812391874117727,2.4842816102199063,2.4878073839040904,2.491365631421407,2.4922508001327515,2.4942454405319996,2.495566814373701,2.4976225999685435,2.499260052656516,2.501825980651073,2.5040442668474636,2.5055092695431833,2.50835933135106,2.511042200602018,2.514477555568402,2.517988232465891,2.5222715597886305,2.5270681350659103,2.5338565080593796,2.540762580358065,2.5497417205419297,2.5594128034053703,2.5680686235427856,2.5762312442828446,2.5856081125063772,2.598792497928326,2.611467590698829,2.6221482570354757,2.6330732015463023,2.6450184064033704,2.6583386843021097,2.6683174096621,2.6106274280792627,2.5014990140230227,2.472937177389096,2.464666328369043,2.478726871502705,2.5037234089313407,2.513192979189066,107072210
2,0.806936216660035,0.8654649120110732,0.9304402027374659,1.0372062356044085,1.2176739221964128,1.4906067710656385,1.8695168418762012,2.176488443827018,2.3516678565587754,2.427646667529375,2.4619550857788477,2.481306109672938,2.4936369963181324,2.498864620159834,2.500066650219453,2.5010963556094046,2.5015246990399485,2.501322177740244,2.502622897808368,2.502967146726755,2.5040169587502112,2.5036112528580885,2.505162572249388,2.5064035776333933,2.5081793864568076,2.510327311662527,2.5119768533951197,2.5150402325850267,2.518048170285347,2.521937776834537,2.525076691920941,2.5310435600769825,2.536458969116211,2.5434517615880723,2.5508325527875853,2.5579121754719663,2.565960156611907,2.5759426171963034,2.5845252030935044,2.5941388393059754,2.6051568526488085,2.6164079690590882,2.6243279499885364,2.6366305290124354,2.6456870910448904,2.533803805326804,2.402532487343519,2.3507971442662754,2.3273569574722877,2.3153754457449303,2.3125768991617055,2.312168084658109,107072210
3,0.7667338771697803,0.8339915657654787,0.9078382544028454,1.0215629644882984,1.2140770050195546,1.5013267932794032,1.8823029230802486,2.211432920052455,2.3917095569463878,2.4715145428975425,2.5103301451756406,2.533917961976467,2.5395791347210226,2.5429406074377208,2.543630303480686,2.543653576801985,2.5434797452046323,2.5427595866032138,2.543165861031948,2.542980655645713,2.543695012728373,2.5439954170813928,2.544386992087731,2.5433433514374952,2.543665803395785,2.543370708441123,2.5431176607425394,2.543187303420825,2.5452773234783073,2.5481783610123854,2.5520764008546486,2.556944978542817,2.5625117925497203,2.567976951599121,2.5723078648249307,2.577088074806409,2.583874760529934,2.5895105508657603,2.596526460769849,2.605725814134647,2.6140714914370804,2.626994768778483,2.637268005273281,2.646714971615718,2.642623864687406,2.5283918166771913,2.3913545593237266,2.3347997023509097,2.3096701946014013,2.292856983649425,2.288931218477396,2.286034596272004,107072210
4,0.9254420277399894,0.9905838675988026,1.0606593122849097,1.170061932160304,1.3526611312841759,1.6298361680446527,1.9770026466785333,2.26393482929621,2.4293251924025707,2.5055983249957743,2.542132172829066,2.559911547563015,2.5679204708490615,2.5705996415553947,2.571169602565276,2.571240559602395,2.570403719559694,2.569557752364721,2.568552573521932,2.568752191005609,2.568789372077355,2.5704468549826207,2.5707384745279946,2.571151849551079,2.5723512936861086,2.5725072347200832,2.574998011955848,2.57669237943796,2.5785528604800882,2.581131485792307,2.585647234549889,2.5894771294716077,2.593174946613801,2.598516983863635,2.6050041302656517,2.6092135356022763,2.6172404992274747,2.6243691536096425,2.631058604289324,2.639764645160773,2.6490902595030956,2.6597956785788903,2.6726288550939317,2.68494001413003,2.6795862393501477,2.551801858804165,2.3936188648908567,2.3305481458321595,2.300889091613965,2.286965085909917,2.281731272355104,2.280391969741919,107072210
5,0.9065348628239754,0.9631292025248209,1.0298980382772593,1.1293681004108527,1.3012301264665065,1.5746356600370162,1.9557208862060156,2.254214283747551,2.3976862186040635,2.4666405763381567,2.501019994417826,2.516507857885116,2.5236955483754477,2.527443583195026,2.5302452001816187,2.5311701939656186,2.531616293467008,2.5308657792898326,2.5300604563492994,2.5297317046385546,2.5286669456041775,2.529188788854159,2.527891143774375,2.5293593253844824,2.5293900691545925,2.5288113875266833,2.530881227591099,2.5336976723793225,2.5367809258974514,2.541400664891952,2.545901772303459,2.551998596925002,2.558291713396708,2.5632989528851633,2.571123648912479,2.577543472632384,2.586062660584083,2.592319818643423,2.6003862680532994,2.610433477621812,2.620640134200072,2.629638907236931,2.643213357680883,2.656942896353893,2.649170459845127,2.4933753410975137,2.338959126900404,2.2779421378404665,2.2511884692387705,2.24205989868213,2.2393461740933933,2.2413313449957433,107072210
6,0.9151358268199823,0.9713731255286779,1.0394172332225702,1.136221326314486,1.3104389967062535,1.5710787956531231,1.952642751045716,2.2916258099751596,2.422624190648397,2.4875789147156935,2.5243283754740005,2.5390789203154736,2.5437097549438477,2.545965931354425,2.5489357098554954,2.5497112518701797,2.5489001885438576,2.547241855890323,2.5458865563074746,2.544585386912028,2.544464028798617,2.5443711311389237,2.5437168310850096,2.5436667662400465,2.544855643541385,2.5461443540377493,2.547085762023926,2.5479565247511253,2.5506347264999,2.553569653095343,2.5585054831627088,2.562627706772242,2.5671251706587963,2.5725042208647118,2.5800753434499106,2.5861704991414,2.5938211648892135,2.6004206920281434,2.609208724437616,2.620254776416681,2.6314925138766947,2.6444301299559765,2.653365202439137,2.6688914604676075,2.6677137857828384,2.513496452417129,2.3684174173917527,2.2967774134415846,2.2664055885412755,2.2537555190233083,2.247350263289916,2.2453356645046134,107072210
7,0.9952162381930229,1.0471614461678724,1.1109374654598725,1.2037419447532067,1.3737778663635254,1.640941308094905,2.0292967970554647,2.3595088384090324,2.4930641039823875,2.555381496747335,2.5887781045375724,2.6039270223715367,2.608350484799116,2.609152506559323,2.6086982977695956,2.6054646357511864,2.6018929481506348,2.598983171658638,2.5963106888991137,2.59412167316828,2.591895525272076,2.590745977866344,2.5888212888668747,2.58807722116128,2.5896937052408853,2.5905677569218173,2.5909234560452976,2.591403285662333,2.593200011131091,2.5949472036117163,2.597687699855902,2.6006241180957894,2.605242444918706,2.6077896662247486,2.612746678865873,2.621215954805032,2.629281909037859,2.6371043431453214,2.6450509352561755,2.650863867539626,2.6604423217284374,2.6720149455926356,2.680833636186062,2.6943908471327562,2.6953830902393046,2.5024195527419066,2.309851090113322,2.2298432298195667,2.1932771435150733,2.176245730656844,2.1654538619212613,2.160417086038834,107072210
8,1.0186850550847175,1.0669158299763997,1.1267565947312574,1.2149987450012794,1.37987888776339,1.6405140711711004,2.0337211336845007,2.3872463489190126,2.5193762320738573,2.5841060051551232,2.6162402690985265,2.6299673349429398,2.6380377396559105,2.6433132061591516,2.6444600209211693,2.6446205652677097,2.6415115075233655,2.6389441092809043,2.6364224537824974,2.633558893815065,2.6301572964741635,2.6258194049199424,2.622273640754895,2.6192966944132094,2.6173834067124586,2.6173491111168494,2.6161407079452124,2.6149776929464097,2.615932733584673,2.6178461129848776,2.6196636847960644,2.622287621864906,2.6269467243781457,2.62917444950495,2.633328217726487,2.638061144413092,2.6441975190089297,2.650592009226481,2.6541068859589405,2.659629155427982,2.6684319300529284,2.6782274062816915,2.6876595448224974,2.699955310577001,2.6990235646565757,2.533851825273954,2.3487864167262344,2.2823434196985684,2.2568775721085377,2.2461075415978065,2.2393331267894845,2.2378205167941556,107072210
9,0.999355306992164,1.047751009464264,1.1084654499322941,1.1936446688114069,1.349453336153275,1.605404733083187,1.998568097750346,2.345315554203131,2.4913047704941187,2.552515800182636,2.5867334818228698,2.606119522681603,2.612800494218484,2.6159594853719077,2.6154440396871323,2.6137465697068434,2.6109473674725265,2.607509182049678,2.604143671500377,2.6010097570908375,2.5977194828864856,2.593951763250889,2.5903850610439596,2.587421710674579,2.583547980357439,2.5810593488888864,2.5801176658043494,2.5786468249100905,2.579083821712396,2.581915259361267,2.5860166305150742,2.5873905298037405,2.5916769473980636,2.5981937707998815,2.6050495887414002,2.6115426222483316,2.615818115381094,2.623772526398683,2.6304130126268435,2.640230032113882,2.6474277881475596,2.6557855789478007,2.667232861885658,2.676052982990558,2.6607660207992945,2.510823292609973,2.297093311945597,2.240511308877896,2.2195938795040817,2.2092634485318112,2.206085067528945,2.2042708610877013,107072210
