date,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5,temp_7
1979-12-21,2.6135735511779785,2.783864974975586,2.9325318336486816,3.0529537200927734,3.132441997528076,3.1422548294067383,3.16420316696167,3.1899638175964355,3.2014803886413574,3.2103915214538574,3.226710796356201,3.234787940979004,3.23960018157959,3.2479190826416016,3.2481417655944824
1979-12-22,2.794621467590332,3.115690231323242,3.3772449493408203,3.5604162216186523,3.6697659492492676,3.7049083709716797,3.7086992263793945,3.7122836112976074,3.720034599304199,3.720770835876465,3.7213664054870605,3.7258291244506836,3.732395648956299,3.7340574264526367,3.7341208457946777
1979-12-23,4.044592380523682,4.005852222442627,3.940258026123047,3.8724284172058105,3.864105701446533,3.860929012298584,3.8427958488464355,3.800816059112549,3.800149917602539,3.7716422080993652,3.7697367668151855,3.766857624053955,3.5591330528259277,3.1873154640197754,2.690019130706787
1979-12-24,4.177391052246094,4.081399917602539,3.960249900817871,3.94796085357666,3.929025173187256,3.8799643516540527,3.869828224182129,3.8434829711914062,3.8014397621154785,3.761361598968506,3.7481446266174316,3.730130672454834,3.6482768058776855,3.159818649291992,2.4653854370117188
1979-12-25,4.229006767272949,4.09187650680542,3.9818902015686035,3.9588723182678223,3.9433064460754395,3.91855525970459,3.8980746269226074,3.8272767066955566,3.820366859436035,3.7667956352233887,3.7493062019348145,3.735085964202881,3.671886444091797,3.0942940711975098,2.288029193878174
1979-12-26,4.14983606338501,4.065374374389648,4.017438888549805,4.011754989624023,3.9801673889160156,3.9228601455688477,3.8131656646728516,3.809044361114502,3.7358455657958984,3.712367534637451,3.6828012466430664,3.6431336402893066,3.627656936645508,3.0155868530273438,2.0582380294799805
1979-12-27,4.107480049133301,4.099447727203369,4.0510382652282715,4.041609764099121,3.9349427223205566,3.9171061515808105,3.812196731567383,3.760080337524414,3.741673469543457,3.6979174613952637,3.6243505477905273,3.6144933700561523,3.5838451385498047,2.9360690116882324,1.938819169998169
1979-12-28,4.214641571044922,4.173309803009033,4.144385814666748,4.143455505371094,4.076596736907959,3.9566121101379395,3.955526828765869,3.8375210762023926,3.8172221183776855,3.795985698699951,3.74100923538208,3.7036781311035156,3.68928861618042,2.8658041954040527,1.7924487590789795
1979-12-29,4.247725486755371,4.207834720611572,4.168435096740723,4.105284690856934,4.104630470275879,3.971365451812744,3.9052248001098633,3.8357491493225098,3.8144264221191406,3.7451653480529785,3.7230730056762695,3.660212993621826,3.6572723388671875,2.7461965084075928,1.6681342124938965
1979-12-30,4.225348949432373,4.218499660491943,4.184037208557129,4.147097110748291,4.1171393394470215,4.0365705490112305,3.949568748474121,3.908048629760742,3.7846169471740723,3.769430160522461,3.727815628051758,3.6970930099487305,3.6835503578186035,2.4995267391204834,1.3355000019073486
1979-12-31,4.246199131011963,4.207675933837891,4.202006816864014,4.132101058959961,4.091372489929199,4.02644681930542,3.9817323684692383,3.906132221221924,3.7913928031921387,3.7865800857543945,3.708721160888672,3.6962504386901855,3.6597795486450195,2.22688627243042,1.0006670951843262
1980-01-01,4.352365970611572,4.346343040466309,4.275878429412842,4.2408342361450195,4.234690189361572,4.168661594390869,4.044850826263428,4.017688751220703,3.9245686531066895,3.863981246948242,3.833299160003662,3.8039889335632324,3.7856101989746094,2.344013214111328,1.444471001625061
1980-01-02,4.543025493621826,4.533890247344971,4.512077808380127,4.500700950622559,4.456600666046143,4.381036281585693,4.360592842102051,4.358954429626465,4.299256801605225,4.24088716506958,4.230142593383789,4.201385974884033,3.918403148651123,2.533245086669922,1.7561640739440918
1980-01-03,4.457652568817139,4.431185245513916,4.420858383178711,4.391563892364502,4.379957675933838,4.319549083709717,4.28972053527832,4.252427101135254,4.250375270843506,4.187664985656738,4.186678409576416,4.156823635101318,3.8235621452331543,2.526151180267334,1.9169120788574219
1980-01-04,4.4984893798828125,4.481278896331787,4.470617771148682,4.464079856872559,4.433131217956543,4.365682601928711,4.324948787689209,4.312382698059082,4.290329456329346,4.223334312438965,4.215943813323975,4.189693450927734,3.877924919128418,2.5619630813598633,1.9912304878234863
1980-01-05,4.618247985839844,4.591760158538818,4.589688301086426,4.529217720031738,4.473450183868408,4.449755668640137,4.449092388153076,4.360590934753418,4.328886985778809,4.279947280883789,4.245545864105225,4.232494354248047,3.961261749267578,2.587024211883545,2.0427496433258057
1980-01-06,5.055959701538086,5.030917167663574,4.9712300300598145,4.953457355499268,4.843751430511475,4.711953163146973,4.593795299530029,4.5698442459106445,4.531092643737793,4.440138816833496,4.435750961303711,4.357540130615234,4.3529133796691895,2.9673044681549072,2.398284435272217
1980-01-07,5.076938629150391,5.049160957336426,5.017574787139893,4.979814529418945,4.881117820739746,4.75889253616333,4.624711990356445,4.610081672668457,4.590738296508789,4.503154754638672,4.4822282791137695,4.426114559173584,4.417313098907471,2.2795047760009766,1.3428435325622559
1980-01-08,4.660203456878662,4.652343273162842,4.609460353851318,4.602545261383057,4.5410003662109375,4.453597545623779,4.425562858581543,4.360490322113037,4.314648628234863,4.304832935333252,4.2826409339904785,4.2515869140625,4.2415995597839355,2.4356203079223633,1.6058306694030762
1980-01-09,4.59335994720459,4.5025739669799805,4.483417987823486,4.48339319229126,4.4691643714904785,4.458336353302002,4.44795036315918,4.4443135261535645,4.427010536193848,4.4162917137146,4.413535118103027,4.383020401000977,4.129916191101074,2.7576904296875,2.2297918796539307
